Timestamp,province,dayrate
4/6/2015 19:44:15,Western Cape,270
4/6/2015 19:44:16,Eastern Cape,65.1
4/6/2015 19:44:20,Gauteng,165
4/6/2015 19:44:24,Gauteng,240
4/6/2015 19:44:27,Gauteng,200
4/6/2015 19:44:28,Gauteng,150
4/6/2015 19:44:28,Free State,160
4/6/2015 19:44:30,Gauteng,150
4/6/2015 19:44:31,Western Cape,190
4/6/2015 19:44:32,Western Cape,140
4/6/2015 19:44:35,Gauteng,173
4/6/2015 19:44:37,Limpopo,850
4/6/2015 19:44:38,Gauteng,150
4/6/2015 19:44:39,Gauteng,150
4/6/2015 19:44:45,Gauteng,204
4/6/2015 19:44:45,Western Cape,250
4/6/2015 19:44:45,Western Cape,120
4/6/2015 19:44:46,Western Cape,150
4/6/2015 19:44:46,Mpumalanga,162.5
4/6/2015 19:44:52,Western Cape,220
4/6/2015 19:44:52,Limpopo,60
4/6/2015 19:44:53,Gauteng,385
4/6/2015 19:44:58,Gauteng,192
4/6/2015 19:44:59,Gauteng,400
4/6/2015 19:44:59,Eastern Cape,120
4/6/2015 19:45:00,Gauteng,150
4/6/2015 19:45:01,Gauteng,174
4/6/2015 19:45:05,Gauteng,125
4/6/2015 19:45:06,Gauteng,150
4/6/2015 19:45:07,Western Cape,230
4/6/2015 19:45:09,Gauteng,200
4/6/2015 19:45:09,Gauteng,100
4/6/2015 19:45:14,Gauteng,150
4/6/2015 19:45:16,Gauteng,3500
4/6/2015 19:45:18,Gauteng,170
4/6/2015 19:45:18,Western Cape,200
4/6/2015 19:45:19,Gauteng,200
4/6/2015 19:45:20,Eastern Cape,20
4/6/2015 19:45:24,Gauteng,160
4/6/2015 19:45:29,Gauteng,204
4/6/2015 19:45:29,Gauteng,2600
4/6/2015 19:45:30,Western Cape,135
4/6/2015 19:45:34,Western Cape,170
4/6/2015 19:45:34,Western Cape,200
4/6/2015 19:45:34,Mpumalanga,1400
4/6/2015 19:45:35,Gauteng,4500
4/6/2015 19:45:37,Limpopo,140
4/6/2015 19:45:37,Gauteng,175
4/6/2015 19:45:38,Western Cape,140
4/6/2015 19:45:38,Western Cape,200
4/6/2015 19:45:39,Gauteng,200
4/6/2015 19:45:40,Gauteng,160
4/6/2015 19:45:45,Gauteng,120
4/6/2015 19:45:48,Gauteng,150
4/6/2015 19:45:49,Free State,170
4/6/2015 19:45:50,Gauteng,200
4/6/2015 19:45:53,Gauteng,140
4/6/2015 19:45:54,Mpumalanga,60
4/6/2015 19:45:57,Gauteng,130
4/6/2015 19:45:58,Western Cape,150
4/6/2015 19:45:58,Gauteng,70
4/6/2015 19:45:59,Gauteng,200
4/6/2015 19:45:59,KwaZulu-Natal,125
4/6/2015 19:46:00,Gauteng,130
4/6/2015 19:46:00,KwaZulu-Natal,150
4/6/2015 19:46:01,Western Cape,200
4/6/2015 19:46:04,Gauteng,180
4/6/2015 19:46:04,North West,250
4/6/2015 19:46:06,Gauteng,120
4/6/2015 19:46:12,Gauteng,120
4/6/2015 19:46:12,Eastern Cape,150
4/6/2015 19:46:15,Gauteng,250
4/6/2015 19:46:17,KwaZulu-Natal,320
4/6/2015 19:46:17,Western Cape,250
4/6/2015 19:46:18,Western Cape,220
4/6/2015 19:46:21,Gauteng,300
4/6/2015 19:46:23,Gauteng,280
4/6/2015 19:46:25,Gauteng,100
4/6/2015 19:46:25,Gauteng,200
4/6/2015 19:46:27,Gauteng,200
4/6/2015 19:46:28,Gauteng,200
4/6/2015 19:46:28,Eastern Cape,294
4/6/2015 19:46:29,Western Cape,150
4/6/2015 19:46:29,Gauteng,7000
4/6/2015 19:46:29,Gauteng,150
4/6/2015 19:46:31,Western Cape,90
4/6/2015 19:46:33,Eastern Cape,150
4/6/2015 19:46:33,Gauteng,250
4/6/2015 19:46:35,Gauteng,117
4/6/2015 19:46:35,Gauteng,207
4/6/2015 19:46:38,Mpumalanga,1400
4/6/2015 19:46:40,Western Cape,80
4/6/2015 19:46:40,KwaZulu-Natal,155
4/6/2015 19:46:40,Western Cape,2400
4/6/2015 19:46:41,Western Cape,180
4/6/2015 19:46:42,Western Cape,140
4/6/2015 19:46:43,Gauteng,300
4/6/2015 19:46:44,Gauteng,27
4/6/2015 19:46:44,Gauteng,170
4/6/2015 19:46:42,North West,104
4/6/2015 19:46:49,Gauteng,200
4/6/2015 19:46:49,Gauteng,180
4/6/2015 19:46:51,Western Cape,180
4/6/2015 19:46:52,Gauteng,170
4/6/2015 19:46:53,Eastern Cape,95
4/6/2015 19:46:53,Gauteng,140
4/6/2015 19:46:56,Western Cape,190
4/6/2015 19:46:56,Gauteng,170
4/6/2015 19:46:58,Gauteng,150
4/6/2015 19:46:58,Gauteng,275
4/6/2015 19:46:58,Gauteng,2470
4/6/2015 19:47:02,Eastern Cape,100
4/6/2015 19:47:02,Gauteng,4000
4/6/2015 19:47:04,Gauteng,190
4/6/2015 19:47:04,Gauteng,245
4/6/2015 19:47:05,Gauteng,200
4/6/2015 19:47:07,Gauteng,200
4/6/2015 19:47:09,Gauteng,160
4/6/2015 19:47:12,Eastern Cape,120
4/6/2015 19:47:13,Gauteng,200
4/6/2015 19:47:17,Gauteng,125
4/6/2015 19:47:17,Western Cape,175
4/6/2015 19:47:17,Gauteng,240
4/6/2015 19:47:20,Gauteng,200
4/6/2015 19:47:20,Gauteng,160
4/6/2015 19:47:24,Gauteng,120
4/6/2015 19:47:25,KwaZulu-Natal,165
4/6/2015 19:47:25,Gauteng,1850
4/6/2015 19:47:29,Gauteng,150
4/6/2015 19:47:30,Western Cape,150
4/6/2015 19:47:30,Limpopo,800
4/6/2015 19:47:33,Gauteng,220
4/6/2015 19:47:33,Western Cape,250
4/6/2015 19:47:35,Gauteng,200
4/6/2015 19:47:35,Gauteng,200
4/6/2015 19:47:35,Eastern Cape,48
4/6/2015 19:47:37,Eastern Cape,180
4/6/2015 19:47:37,Western Cape,210
4/6/2015 19:47:40,Gauteng,3500
4/6/2015 19:47:43,Free State,100
4/6/2015 19:47:43,KwaZulu-Natal,250
4/6/2015 19:47:44,KwaZulu-Natal,100
4/6/2015 19:47:44,Gauteng,250
4/6/2015 19:47:45,Western Cape,3250
4/6/2015 19:47:46,Gauteng,100
4/6/2015 19:47:50,Western Cape,260
4/6/2015 19:47:51,Limpopo,56.67
4/6/2015 19:47:52,Gauteng,150
4/6/2015 19:47:53,Gauteng,200
4/6/2015 19:47:55,KwaZulu-Natal,150
4/6/2015 19:47:55,Gauteng,2500
4/6/2015 19:47:56,Gauteng,180
4/6/2015 19:47:58,Mpumalanga,100
